time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.174999,-0.000725,-0.000707,0.000108,-0.000001
1.179999,-0.000724,-0.000707,0.000361,0.000201
1.184999,-0.000721,-0.000705,0.000613,0.000507
1.190000,-0.000718,-0.000703,0.000856,0.000706
1.195000,-0.000713,-0.000698,0.001082,0.000989
1.200000,-0.000707,-0.000694,0.001288,0.001161
1.205000,-0.000699,-0.000687,0.001478,0.001397
1.210001,-0.000692,-0.000681,0.001655,0.001543
1.215001,-0.000683,-0.000671,0.001825,0.001749
1.220001,-0.000673,-0.000664,0.001993,0.001883
1.225001,-0.000663,-0.000652,0.002158,0.002084
1.230001,-0.000651,-0.000644,0.002322,0.002216
1.235002,-0.000639,-0.000630,0.002479,0.002408
1.240002,-0.000626,-0.000621,0.002631,0.002531
1.245002,-0.000613,-0.000605,0.002776,0.002709
1.250002,-0.000599,-0.000594,0.002914,0.002822
1.255003,-0.000584,-0.000577,0.003041,0.002981
1.260003,-0.000568,-0.000565,0.003157,0.003078
1.265003,-0.000552,-0.000546,0.003258,0.003209
1.270003,-0.000535,-0.000533,0.003342,0.003283
1.275004,-0.000519,-0.000513,0.003411,0.003374
1.280004,-0.000501,-0.000500,0.003466,0.003422
1.285004,-0.000484,-0.000479,0.003516,0.003483
1.290004,-0.000466,-0.000465,0.003566,0.003522
1.295004,-0.000448,-0.000444,0.003615,0.003582
1.300005,-0.000430,-0.000429,0.003658,0.003620
1.305005,-0.000412,-0.000408,0.003692,0.003667
1.310005,-0.000393,-0.000393,0.003711,0.003690
1.315005,-0.000374,-0.000371,0.003708,0.003701
1.320006,-0.000356,-0.000356,0.003679,0.003688
1.325006,-0.000338,-0.000334,0.003620,0.003635
1.330006,-0.000320,-0.000319,0.003534,0.003577
1.335006,-0.000303,-0.000298,0.003418,0.003455
1.340007,-0.000286,-0.000284,0.003275,0.003351
1.345007,-0.000270,-0.000265,0.003106,0.003162
1.350007,-0.000255,-0.000252,0.002918,0.003017
1.355007,-0.000241,-0.000235,0.002717,0.002781
1.360008,-0.000228,-0.000224,0.002506,0.002616
1.365008,-0.000216,-0.000208,0.002290,0.002359
1.370008,-0.000205,-0.000199,0.002067,0.002181
1.375008,-0.000196,-0.000187,0.001842,0.001910
1.380008,-0.000187,-0.000179,0.001626,0.001733
1.385009,-0.000180,-0.000169,0.001422,0.001479
1.390009,-0.000173,-0.000163,0.001233,0.001321
1.395009,-0.000167,-0.000156,0.001062,0.001103
1.400009,-0.000163,-0.000152,0.000911,0.000973
1.405010,-0.000158,-0.000146,0.000782,0.000803
1.410010,-0.000155,-0.000143,0.000674,0.000708
1.415010,-0.000152,-0.000139,0.000590,0.000593
1.420010,-0.000149,-0.000137,0.000527,0.000533
1.425011,-0.000147,-0.000134,0.000486,0.000471
1.430011,-0.000144,-0.000132,0.000464,0.000446
1.435011,-0.000142,-0.000129,0.000458,0.000430
1.440011,-0.000140,-0.000128,0.000464,0.000431
1.445011,-0.000137,-0.000125,0.000480,0.000444
1.450012,-0.000135,-0.000123,0.000501,0.000459
1.455012,-0.000132,-0.000120,0.000526,0.000487
1.460012,-0.000129,-0.000118,0.000554,0.000509
1.465012,-0.000127,-0.000115,0.000584,0.000543
1.470013,-0.000124,-0.000113,0.000616,0.000567
1.475013,-0.000120,-0.000110,0.000652,0.000607
1.480013,-0.000117,-0.000107,0.000692,0.000637
1.485013,-0.000113,-0.000103,0.000735,0.000687
1.490014,-0.000110,-0.000100,0.000779,0.000721
1.495014,-0.000106,-0.000096,0.000824,0.000773
1.500014,-0.000101,-0.000093,0.000872,0.000809
1.505014,-0.000097,-0.000088,0.000927,0.000870
1.510015,-0.000092,-0.000084,0.000991,0.000916
1.515015,-0.000087,-0.000079,0.001064,0.000997
1.520015,-0.000081,-0.000075,0.001148,0.001060
1.525015,-0.000075,-0.000068,0.001242,0.001166
1.530015,-0.000069,-0.000063,0.001344,0.001244
1.535016,-0.000062,-0.000056,0.001449,0.001370
1.540016,-0.000054,-0.000050,0.001550,0.001454
1.545016,-0.000046,-0.000041,0.001639,0.001569
1.550016,-0.000038,-0.000035,0.001712,0.001634
1.555017,-0.000029,-0.000025,0.001767,0.001711
1.560017,-0.000020,-0.000018,0.001805,0.001747
1.565017,-0.000011,-0.000007,0.001828,0.001782
1.570017,-0.000002,-0.000000,0.001840,0.001794
1.575018,0.000007,0.000011,0.001846,0.001802
1.580018,0.000017,0.000018,0.001854,0.001805
1.585018,0.000026,0.000029,0.001869,0.001817
1.590018,0.000035,0.000036,0.001892,0.001832
1.595019,0.000045,0.000047,0.001921,0.001864
1.600019,0.000055,0.000054,0.001952,0.001889
1.605019,0.000065,0.000066,0.001982,0.001925
1.610019,0.000075,0.000074,0.002008,0.001947
1.615019,0.000085,0.000085,0.002029,0.001975
1.620020,0.000095,0.000093,0.002044,0.001990
1.625020,0.000105,0.000105,0.002048,0.002000
1.630020,0.000115,0.000113,0.002043,0.001999
1.635020,0.000125,0.000125,0.002028,0.001988
1.640021,0.000136,0.000133,0.002000,0.001972
1.645021,0.000145,0.000145,0.001956,0.001929
1.650021,0.000155,0.000153,0.001893,0.001886
1.655021,0.000164,0.000164,0.001810,0.001797
1.660022,0.000173,0.000171,0.001708,0.001722
1.665022,0.000181,0.000181,0.001589,0.001587
1.670022,0.000189,0.000187,0.001463,0.001486
1.675022,0.000196,0.000196,0.001336,0.001331
1.680022,0.000202,0.000201,0.001216,0.001230
1.685023,0.000208,0.000208,0.001111,0.001095
1.690023,0.000213,0.000212,0.001017,0.001015
1.695023,0.000218,0.000218,0.000934,0.000909
1.700023,0.000222,0.000222,0.000862,0.000846
1.705024,0.000226,0.000227,0.000799,0.000766
1.710024,0.000230,0.000230,0.000742,0.000718
1.715024,0.000234,0.000234,0.000688,0.000651
1.720024,0.000237,0.000236,0.000636,0.000609
1.725025,0.000240,0.000240,0.000582,0.000546
1.730025,0.000243,0.000242,0.000524,0.000501
1.735025,0.000245,0.000245,0.000459,0.000427
1.740025,0.000247,0.000247,0.000385,0.000372
1.745026,0.000249,0.000249,0.000300,0.000275
1.750026,0.000250,0.000250,0.000208,0.000204
1.755026,0.000251,0.000251,0.000112,0.000089
1.760026,0.000251,0.000251,0.000018,0.000012
1.765026,0.000251,0.000251,-0.000069,-0.000099
1.770027,0.000251,0.000250,-0.000148,-0.000166
1.775027,0.000250,0.000249,-0.000215,-0.000254
1.780027,0.000248,0.000248,-0.000272,-0.000304
1.785027,0.000247,0.000246,-0.000319,-0.000367
